WAVLEN_MCRN,TOTAL_RAD,ALBEDO,WVP_COL,GRND_RFLT
0.814,0.00044457,0,0.2,
0.815,0.00043923,0,0.2,
0.816,0.00042462,0,0.2,
0.817,0.00042684,0,0.2,
0.818,0.00041873,0,0.2,
0.819,0.00042756,0,0.2,
0.82,0.00040502,0,0.2,
0.821,0.00043509,0,0.2,
0.822,0.00042338,0,0.2,
0.823,0.00038143,0,0.2,
0.824,0.00042529,0,0.2,
0.825,0.00042671,0,0.2,
0.826,0.00042228,0,0.2,
0.827,0.00042882,0,0.2,
0.828,0.0004065,0,0.2,
0.829,0.0004177,0,0.2,
0.83,0.00040967,0,0.2,
0.831,0.00040159,0,0.2,
0.832,0.00040413,0,0.2,
0.833,0.00040288,0,0.2,
0.834,0.00040091,0,0.2,
0.835,0.00040954,0,0.2,
0.836,0.00040758,0,0.2,
0.837,0.00040894,0,0.2,
0.838,0.00040738,0,0.2,
0.839,0.00039384,0,0.2,
0.84,0.00040425,0,0.2,
0.841,0.0004037,0,0.2,
0.842,0.00039806,0,0.2,
0.843,0.00039721,0,0.2,
0.844,0.00038699,0,0.2,
0.845,0.00039265,0,0.2,
0.846,0.0003939,0,0.2,
0.847,0.0003809,0,0.2,
0.848,0.00039003,0,0.2,
0.849,0.00038819,0,0.2,
0.85,0.00033658,0,0.2,
0.851,0.00038092,0,0.2,
0.852,0.00036836,0,0.2,
0.853,0.00037038,0,0.2,
0.854,0.00030138,0,0.2,
0.855,0.00032113,0,0.2,
0.856,0.00036756,0,0.2,
0.857,0.00037251,0,0.2,
0.858,0.00036638,0,0.2,
0.859,0.00036152,0,0.2,
0.86,0.00036013,0,0.2,
0.861,0.00035933,0,0.2,
0.862,0.0003556,0,0.2,
0.863,0.00036129,0,0.2,
0.864,0.00035934,0,0.2,
0.865,0.00035234,0,0.2,
0.866,0.00029921,0,0.2,
0.867,0.00030789,0,0.2,
0.868,0.00033748,0,0.2,
0.869,0.00033263,0,0.2,
0.87,0.00034466,0,0.2,
0.871,0.00034248,0,0.2,
0.872,0.00034239,0,0.2,
0.873,0.00034163,0,0.2,
0.874,0.00033463,0,0.2,
0.875,0.0003288,0,0.2,
0.876,0.00032942,0,0.2,
0.877,0.00033483,0,0.2,
0.878,0.00033156,0,0.2,
0.879,0.00032827,0,0.2,
0.88,0.00032831,0,0.2,
0.881,0.00030888,0,0.2,
0.882,0.00032464,0,0.2,
0.883,0.00031746,0,0.2,
0.884,0.00031845,0,0.2,
0.885,0.00032135,0,0.2,
0.886,0.00030977,0,0.2,
0.887,0.00030507,0,0.2,
0.888,0.00031317,0,0.2,
0.889,0.00031455,0,0.2,
0.89,0.00031334,0,0.2,
0.891,0.00031209,0,0.2,
0.892,0.00030729,0,0.2,
