Frequency (CM-1),Wavelength (Mm),Solar Irradiance (W CM-2 CM-1),Solar Irradiance (W M-2  uM-1)
49592.0,0.20164542668172286,1.713e-09,4.212894752832
49591.0,0.20164949285152547,1.975e-09,4.857052879975
49590.0,0.20165355918531963,2.212e-09,5.4396798372
49589.0,0.2016576256831152,2.421e-09,5.953405857740999
49588.0,0.20166169234492215,2.264e-09,5.567107500416
49587.0,0.20166575917075039,2.07e-09,5.08986207783
49586.0,0.20166982616060986,2.317e-09,5.696973324532
49585.0,0.20167389331451044,2.805e-09,6.896575591125
49584.0,0.20167796063246207,3.23e-09,7.941190970879999
49583.0,0.20168202811447472,3.718e-09,9.140605919302
49582.0,0.20168609576055826,4.146e-09,10.192421605704
49581.0,0.20169016357072267,3.835e-09,9.427486776435
49580.0,0.20169423154497781,3.317e-09,8.1537711188
49579.0,0.20169829968333366,3.027e-09,7.440599808507
49578.0,0.20170236798580016,2.484e-09,6.105617560656
49577.0,0.2017064364523872,1.919e-09,4.7166696647510005
49576.0,0.20171050508310473,1.826e-09,4.487905870975999
49575.0,0.20171457387796268,2.022e-09,4.96943022375
49574.0,0.201718642836971,2.191e-09,5.384561013916
49573.0,0.2017227119601396,2.59e-09,6.36487923211
49572.0,0.20172678124747842,3.114e-09,7.652291234976
49571.0,0.2017308506989974,3.658e-09,8.988745021978
49570.0,0.20173492031470647,3.968e-09,9.750109683200002
49569.0,0.2017389900946156,3.852e-09,9.464694351372001
49568.0,0.20174306003873466,3.638e-09,8.938517338112
49567.0,0.20174713014707366,3.365e-09,8.267426400485
49566.0,0.2017512004196425,3.103e-09,7.623414268668
49565.0,0.20175527085645112,2.763e-09,6.787832328675
49564.0,0.20175934145750948,2.401e-09,5.8982728204959995
49563.0,0.2017634122228275,2.111e-09,5.185652435559
49562.0,0.20176748315241516,1.749e-09,4.296229335156
49561.0,0.20177155424628235,1.377e-09,3.3823150768169996
49560.0,0.20177562550443906,1.373e-09,3.3723538127999997
49559.0,0.2017796969268952,1.633e-09,4.010802287473
49558.0,0.20178376851366076,1.756e-09,4.312727859184
