# Wavelength (µm)	RSR
1.9093	0.000000
1.9105	0.000000
1.9118	0.000000
1.9131	0.000000
1.9143	0.000000
1.9156	0.000000
1.9169	0.000000
1.9181	0.000000
1.9194	0.000000
1.9207	0.000000
1.9220	0.000000
1.9232	0.000000
1.9245	0.000000
1.9258	0.000000
1.9270	0.000000
1.9283	0.000000
1.9296	0.000000
1.9308	0.000000
1.9321	0.000000
1.9334	0.000000
1.9347	0.000000
1.9359	0.000000
1.9372	0.000000
1.9385	0.000000
1.9397	0.000000
1.9410	0.000000
1.9423	0.000000
1.9435	0.000000
1.9448	0.000000
1.9461	0.000000
1.9474	0.000000
1.9486	0.000000
1.9499	0.000000
1.9512	0.000000
1.9524	0.000000
1.9537	0.000000
1.9550	0.000000
1.9562	0.000000
1.9575	0.000000
1.9588	0.000000
1.9601	0.000000
1.9613	0.000000
1.9626	0.000000
1.9639	0.000000
1.9651	0.000000
1.9664	0.000000
1.9677	0.000000
1.9689	0.000000
1.9702	0.000000
1.9715	0.000000
1.9728	0.000000
1.9740	0.000000
1.9753	0.000000
1.9766	0.000000
1.9778	0.000000
1.9791	0.000000
1.9804	0.000000
1.9816	0.000000
1.9829	0.000000
1.9842	0.000000
1.9855	0.000000
1.9867	0.000000
1.9880	0.000000
1.9893	0.000000
1.9905	0.000000
1.9918	0.000000
1.9931	0.000000
1.9943	0.000000
1.9956	0.000000
1.9969	0.000000
1.9982	0.000000
1.9994	0.000000
2.0007	0.000000
2.0020	0.000000
2.0032	0.000000
2.0045	0.000000
2.0058	0.000000
2.0071	0.000000
2.0083	0.000000
2.0096	0.000000
2.0109	0.000000
2.0121	0.000000
2.0134	0.000000
2.0147	0.000000
2.0159	0.000000
2.0172	0.000000
2.0185	0.000000
2.0198	0.000000
2.0210	0.000000
2.0223	0.000000
2.0236	0.000000
2.0248	0.000000
2.0261	0.000000
2.0274	0.000000
2.0286	0.000000
2.0299	0.000000
2.0312	0.000000
2.0325	0.000000
2.0337	0.000000
2.0350	0.000000
2.0363	0.000000
2.0375	0.000000
2.0388	0.000000
2.0401	0.000000
2.0413	0.000000
2.0426	0.000000
2.0439	0.000000
2.0452	0.000000
2.0464	0.000000
2.0477	0.000000
2.0490	0.000000
2.0502	0.000000
2.0515	0.000000
2.0528	0.000000
2.0540	0.000000
2.0553	0.000000
2.0566	0.000000
2.0579	0.000000
2.0591	0.000000
2.0604	0.000000
2.0617	0.000000
2.0629	0.000000
2.0642	0.000000
